dates,adjusted,open,high,low,close,betaYearDay,sigmaDay60,pbr,institutional,foreigners,kodexGBond3Year,vkospi200,wonPerYen,wonPerDollar,dowjones,shanghai,goldFuture,wtiNY,kospi,kospi200IT,logreturn,lrClass
2010-10-20,23900,22850,23950,22700,23900,1.255499,0.000666,2.58,4193,2007,53375,19.02,1390.646237,1125.45,11107.97,3003.95,1343.3,81.8,1870.44,1254.75,-0.006295928,1
2010-10-21,23750,24000,24400,23750,23750,1.251763,0.000652,2.57,2412,2445,53315,18.36,1387.752587,1126.3,11146.57,2983.53,1324.7,80.3,1874.69,1268.8,0.018770103,3
2010-10-22,24200,24000,24400,23900,24200,1.24688,0.000652,2.62,690,2055,53340,17,1384.293966,1126.4,11132.56,2975.04,1324.4,81.5,1897.31,1286.76,0.004123717,2
2010-10-25,24300,24400,24400,23750,24300,1.246142,0.000646,2.63,181,1525,53250,16.57,1384.524696,1115.65,11164.05,3051.42,1338.3,82.3,1915.71,1284.86,-0.025001302,0
2010-10-26,23700,24100,24250,23400,23700,1.247787,0.000639,2.56,-1778,703,53205,16.34,1380.999262,1122.2,11169.46,3041.54,1338,82.6,1919.41,1280.86,-0.034338138,0
2010-10-27,22900,23500,23600,22900,22900,1.249174,0.000658,2.48,-1547,1153,53150,16.51,1386.113152,1131.9,11126.28,2997.05,1322.2,81.9,1909.54,1265.88,-0.002185793,1
2010-10-28,22850,23300,23450,22600,22850,1.246242,0.00063,2.47,-1883,2590,53265,16.59,1388.888889,1123.75,11113.95,2992.58,1342.1,82.1,1907.87,1270.41,0.013043663,2
2010-10-29,23150,22700,23150,22300,23150,1.265894,0.000629,2.5,-1593,3764,53250,18.6,1394.606324,1124.75,11118.49,2978.84,1357.1,81.4,1882.95,1246.17,-0.019629856,0
2010-11-01,22700,23200,23300,22600,22700,1.237534,0.000631,2.45,-1300,866,53095,18.34,1387.455019,1118.15,11124.62,3054.02,1350.2,82.9,1914.74,1240.45,-0.035878288,0
2010-11-02,21900,22600,22700,21900,21900,1.245864,0.00065,2.37,-1421,1058,53010,18.38,1376.083189,1111.6,11188.72,3045.43,1356.4,83.9,1918.04,1234.14,-0.004576667,1
2010-11-03,21800,21950,22400,21750,21800,1.244678,0.000619,2.36,-842,902,53065,18.8,1365.027658,1110.45,11215.13,3030.99,1337.1,84.8,1935.97,1229.82,0.051407967,3
2010-11-04,22950,22200,23150,22200,22950,1.234769,0.000664,2.48,2272,1984,52995,18.67,1373.109348,1107.55,11434.84,3086.94,1382.7,86.5,1942.5,1248.75,0.034264594,3
2010-11-05,23750,24100,24200,23650,23750,1.221174,0.000683,2.57,1843,4789,52870,19.61,1365.171309,1107.7,11444.08,3129.5,1397.3,86.9,1938.96,1270.03,0.00210305,2
2010-11-08,23800,24050,24350,23700,23800,1.210265,0.000616,2.57,1571,789,52845,19.3,1373.475422,1114.85,11406.84,3159.51,1402.8,87.1,1942.41,1268.87,-0.014815086,0
2010-11-09,23450,23700,23800,23250,23450,1.206287,0.00062,2.54,-135,603,52880,18.71,1379.97767,1112.4,11346.75,3135,1409.8,86.6,1947.46,1263.97,0.019007964,3
2010-11-10,23900,23200,23950,23200,23900,1.209292,0.000619,2.58,1370,764,52940,18.39,1349.125364,1110.6,11357.04,3115.36,1399.1,87.8,1967.85,1267.57,-0.021142437,0
2010-11-11,23400,23800,24400,23400,23400,1.196963,0.000621,2.53,2080,1724,52960,20.54,1345.132743,1109.6,11283.1,3147.74,1403.1,87.8,1914.73,1240.21,-0.025975486,0
2010-11-12,22800,23600,23700,22700,22800,1.198018,0.000633,2.47,-684,1314,52935,20.68,1369.488643,1127.5,11192.58,2985.43,1365.4,84.9,1913.12,1240.17,0.036602579,3
2010-11-15,23650,22900,23800,22750,23650,1.195354,0.000649,2.56,881,933,52965,20.32,1370.231772,1135.1,11201.97,3014.41,1368.4,85,1913.81,1259.89,0.002111933,2
2010-11-16,23700,23650,24000,23300,23700,1.177278,0.000628,2.56,1028,913,53130,20.58,1360.649819,1130.7,11023.5,2894.54,1338.3,83.5,1899.13,1256.98,-0.014878064,0
2010-11-17,23350,23600,23650,23100,23350,1.166389,0.000623,2.53,472,261,53110,20.37,1374.414696,1144.75,11007.88,2838.86,1336.8,80.4,1897.11,1260.28,0.014878064,3
2010-11-18,23700,23550,23700,23050,23700,1.161474,0.000612,2.56,-1158,359,53185,19.21,1358.155177,1130.8,11181.23,2865.45,1352.9,81.9,1927.86,1278.64,0.008403411,2
2010-11-19,23900,23700,24200,23550,23900,1.156062,0.000603,2.58,909,939,53205,18.43,1357.228482,1132.2,11203.55,2888.57,1352.2,81.5,1940.96,1297.16,0.056925937,3
2010-11-22,25300,24300,25300,24200,25300,1.158058,0.000656,2.74,6401,2409,53145,18.35,1352.581766,1129,11178.58,2884.37,1357.7,81.4,1944.34,1333.72,0.001974334,2
2010-11-23,25350,25400,25650,25100,25350,1.154085,0.000648,2.74,689,2286,53190,19.29,1405.284749,1164.7,11036.37,2828.28,1377.5,81.1,1928.94,1337.86,0.015655897,3
2010-11-24,25750,24800,25850,24650,25750,1.147312,0.00065,2.78,2073,1796,53180,19.93,1377.44686,1147,11187.28,2859.94,1373,83.3,1925.98,1336.57,-0.021590633,0
2010-11-25,25200,26000,26000,25100,25200,1.145434,0.000659,2.73,-176,725,53245,19.88,1368.824022,1144.2,11187.28,2898.26,1373,83.3,1927.68,1328.11,-0.022067094,0
2010-11-26,24650,25200,25600,24500,24650,1.155642,0.000599,2.67,405,825,53220,22.49,1375.148703,1155.95,11092,2871.7,1362.4,83.3,1901.8,1301.14,0.006066753,2
2010-11-29,24800,24800,25000,24550,24800,1.184484,0.000596,2.68,-516,497,53305,23.36,1376.229994,1160.85,11052.49,2866.36,1366,85.7,1895.54,1301.99,-0.053843232,0
